epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,876.481,1.61627,3.1333,2.54016,1.58419,0,0.18425,0.29363,0.12437,0.05453,0.12137,0.18393,0.07657,0.02947,2.03124,4.88033,3.18266,2.0355,0,0.00033235,0.00033235,0.0670973
2,965.37,1.51835,2.65,2.02656,1.51339,0,0.38644,0.46704,0.37884,0.16713,0.35681,0.40841,0.33448,0.12872,1.81106,3.2143,2.16834,1.80842,0,0.000659093,0.000659093,0.0340908
3,1054.67,1.50717,2.55207,1.9021,1.50323,0,0.42503,0.51303,0.39944,0.20045,0.3513,0.34156,0.30406,0.13953,1.66785,3.54102,2.20883,1.71852,0,0.000979236,0.000979236,0.00107756
4,1143.62,1.47451,2.46432,1.82398,1.47145,0,0.41458,0.39372,0.37516,0.18342,0.42101,0.38095,0.361,0.14657,1.76186,2.75533,2.08073,1.76885,0,0.0009703,0.0009703,0.0009703
5,1230.42,1.43469,2.38937,1.72497,1.43561,0,0.45648,0.4577,0.43492,0.21309,0.48022,0.45881,0.42412,0.17406,1.6897,2.81493,1.90951,1.71186,0,0.0009604,0.0009604,0.0009604
6,1319.43,1.39584,2.32393,1.67074,1.41382,0,0.50838,0.51672,0.47947,0.22722,0.49059,0.50604,0.45593,0.19196,1.65634,2.73566,1.88163,1.62376,0,0.0009505,0.0009505,0.0009505
7,1410.12,1.34103,2.21844,1.56538,1.39153,0,0.62392,0.5391,0.54759,0.29115,0.57993,0.51442,0.51187,0.24826,1.56472,2.61197,1.67132,1.60397,0,0.0009406,0.0009406,0.0009406
8,1499.77,1.32659,2.2346,1.53849,1.38209,0,0.48053,0.58083,0.49404,0.27173,0.49117,0.50167,0.45367,0.21465,1.5537,2.65827,1.91334,1.54015,0,0.0009307,0.0009307,0.0009307
9,1588.77,1.30221,2.20046,1.4777,1.34768,0,0.53213,0.62671,0.55155,0.30705,0.55559,0.56613,0.54432,0.26301,1.45511,2.40113,1.54654,1.46127,0,0.0009208,0.0009208,0.0009208
10,1677.44,1.27832,2.14787,1.47118,1.34012,0,0.60248,0.49339,0.51576,0.28912,0.57808,0.48732,0.47473,0.2266,1.52426,2.3908,1.62727,1.55211,0,0.0009109,0.0009109,0.0009109
11,1765,1.2744,2.14041,1.41079,1.33507,0,0.57065,0.5624,0.53691,0.30031,0.57755,0.56562,0.52164,0.25528,1.47221,2.50173,1.55496,1.48472,0,0.000901,0.000901,0.000901
12,1852.64,1.24663,2.09831,1.40671,1.32037,0,0.61334,0.61466,0.63994,0.35902,0.62692,0.60452,0.62413,0.28359,1.48661,2.94674,1.50722,1.52222,0,0.0008911,0.0008911,0.0008911
13,1941.98,1.2154,2.10902,1.35792,1.30448,0,0.63342,0.63112,0.63174,0.36966,0.62919,0.61757,0.61939,0.29782,1.41147,2.30352,1.48173,1.44481,0,0.0008812,0.0008812,0.0008812
14,2031.41,1.22683,2.09441,1.35234,1.30634,0,0.66884,0.6035,0.64919,0.3704,0.59547,0.56129,0.54273,0.25119,1.45309,2.77465,1.42118,1.43939,0,0.0008713,0.0008713,0.0008713
15,2120.26,1.20511,2.03454,1.31744,1.29496,0,0.65073,0.60546,0.62848,0.37348,0.64716,0.59595,0.62086,0.30131,1.37001,2.06019,1.4356,1.39924,0,0.0008614,0.0008614,0.0008614
16,2208.16,1.17744,2.00098,1.29037,1.28116,0,0.65477,0.57288,0.59128,0.33738,0.62158,0.58903,0.58338,0.28063,1.3968,2.36841,1.52257,1.41154,0,0.0008515,0.0008515,0.0008515
17,2295.34,1.18074,2.01859,1.27258,1.27441,0,0.62439,0.63717,0.61432,0.34215,0.61928,0.63258,0.59996,0.28023,1.4964,2.032,1.42794,1.50153,0,0.0008416,0.0008416,0.0008416
18,2383.6,1.16943,2.00137,1.24243,1.26652,0,0.61503,0.66678,0.65742,0.37823,0.63532,0.65042,0.64916,0.31377,1.35894,2.09387,1.35099,1.40938,0,0.0008317,0.0008317,0.0008317
