epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0205,1.59665,3.18923,2.88809,1.57147,0,0.2955,0.3872,0.28813,0.12895,0.27946,0.40187,0.26099,0.10967,1.70495,2.60315,2.71356,1.71532,0,0.000414216,0.000414216,0.000414216
2,159.386,1.51299,2.56691,2.16653,1.4834,0,0.22748,0.34099,0.16495,0.05985,0.22665,0.32069,0.16951,0.05721,2.32624,3.6949,3.02179,2.18273,0,0.000822657,0.000822657,0.000822657
3,234.201,1.51474,2.50362,1.97797,1.48271,0,0.29886,0.40237,0.29627,0.11615,0.33212,0.43653,0.29456,0.10313,1.88188,2.86016,2.56369,1.87758,0,0.00122285,0.00122285,0.00122285
4,308.187,1.49558,2.49253,1.86941,1.47868,0,0.50659,0.44706,0.44928,0.2147,0.49229,0.43908,0.39983,0.16201,1.63432,3.14448,1.97792,1.67381,0,0.00121287,0.00121287,0.00121287
5,385.727,1.43037,2.40187,1.73085,1.43047,0,0.34527,0.41811,0.33202,0.14664,0.32787,0.39282,0.30162,0.12483,1.76154,2.55188,2.19873,1.69016,0,0.0012005,0.0012005,0.0012005
6,460.699,1.36818,2.3302,1.64209,1.39427,0,0.49667,0.55294,0.48783,0.24652,0.48566,0.5682,0.48265,0.21262,1.5872,2.55265,1.82127,1.61754,0,0.00118812,0.00118812,0.00118812
7,534.839,1.36232,2.26874,1.5691,1.38846,0,0.40857,0.48659,0.35067,0.16311,0.38618,0.44769,0.31366,0.1323,1.83433,3.41284,1.97126,1.67238,0,0.00117575,0.00117575,0.00117575
8,607.73,1.30995,2.19629,1.51103,1.34851,0,0.50979,0.48755,0.49716,0.26022,0.49715,0.44749,0.46196,0.20469,1.59721,2.93144,1.823,1.53076,0,0.00116337,0.00116337,0.00116337
9,681.884,1.2902,2.16485,1.45106,1.34113,0,0.61407,0.57283,0.61963,0.34904,0.63322,0.54223,0.58023,0.27885,1.49786,2.95109,1.45848,1.44388,0,0.001151,0.001151,0.001151
10,754.239,1.27227,2.13882,1.40696,1.32768,0,0.6583,0.50571,0.5501,0.29652,0.60086,0.50704,0.51079,0.24404,1.53292,3.00198,1.6966,1.53241,0,0.00113863,0.00113863,0.00113863
11,826.949,1.24577,2.09918,1.35101,1.3063,0,0.66232,0.62183,0.62739,0.37077,0.68769,0.62927,0.61254,0.29445,1.47407,2.83801,1.37348,1.48642,0,0.00112625,0.00112625,0.00112625
12,899.889,1.23191,2.08392,1.34444,1.30521,0,0.59538,0.56989,0.59292,0.34143,0.55743,0.59358,0.56732,0.27711,1.41587,2.11995,1.53592,1.45654,0,0.00111388,0.00111388,0.00111388
13,973.255,1.22663,2.07813,1.32751,1.29978,0,0.65199,0.57536,0.59262,0.33405,0.6718,0.55922,0.58172,0.2791,1.45181,2.10417,1.45889,1.4327,0,0.0011015,0.0011015,0.0011015
14,1047.67,1.21703,2.04604,1.27417,1.28875,0,0.62152,0.65182,0.63337,0.35508,0.61482,0.56692,0.5587,0.27227,1.44147,3.00975,1.37413,1.44078,0,0.00108913,0.00108913,0.00108913
15,1121.12,1.20576,2.02362,1.25242,1.28611,0,0.66141,0.62718,0.63333,0.35696,0.67751,0.62537,0.62247,0.30815,1.3792,2.62426,1.3518,1.43842,0,0.00107675,0.00107675,0.00107675
